link,avg price
https://tabelog.com/en/kyoto/A2601/A260101/26038972/,12499.5
https://tabelog.com/en/kyoto/A2601/A260301/26039518/,8999.5
https://tabelog.com/en/kyoto/A2601/A260201/26002583/,5499.5
https://tabelog.com/en/kyoto/A2601/A260202/26006733/,17499.5
https://tabelog.com/en/kyoto/A2601/A260201/26040329/,8999.5
https://tabelog.com/en/kyoto/A2601/A260304/26042130/,12499.5
https://tabelog.com/en/kyoto/A2601/A260301/26002441/,12499.5
https://tabelog.com/en/kyoto/A2601/A260101/26031208/,8999.5
https://tabelog.com/en/kyoto/A2601/A260202/26024174/,6999.5
https://tabelog.com/en/kyoto/A2601/A260301/26041409/,12499.5
https://tabelog.com/en/kyoto/A2601/A260202/26002130/,8999.5
https://tabelog.com/en/kyoto/A2601/A260301/26002059/,8999.5
https://tabelog.com/en/kyoto/A2601/A260301/26039228/,24999.5
https://tabelog.com/en/kyoto/A2601/A260202/26004842/,8999.5
https://tabelog.com/en/kyoto/A2601/A260101/26039689/,12499.5
https://tabelog.com/en/kyoto/A2601/A260201/26039792/,2499.5
https://tabelog.com/en/kyoto/A2601/A260202/26020754/,6999.5
https://tabelog.com/en/kyoto/A2601/A260301/26036119/,12499.5
https://tabelog.com/en/kyoto/A2601/A260301/26001379/,12499.5
https://tabelog.com/en/kyoto/A2601/A260202/26030697/,24999.5
https://tabelog.com/en/kyoto/A2601/A260301/26041466/,12499.5
https://tabelog.com/en/kyoto/A2601/A260301/26003500/,4499.5
https://tabelog.com/en/kyoto/A2601/A260301/26040469/,3499.5
https://tabelog.com/en/kyoto/A2601/A260201/26037826/,12499.5
https://tabelog.com/en/kyoto/A2601/A260301/26013607/,12499.5
https://tabelog.com/en/kyoto/A2601/A260301/26030521/,2499.5
https://tabelog.com/en/kyoto/A2601/A260201/26034508/,5499.5
https://tabelog.com/en/kyoto/A2601/A260202/26020065/,8999.5
https://tabelog.com/en/kyoto/A2601/A260604/26002401/,5499.5
https://tabelog.com/en/kyoto/A2601/A260202/26002088/,6999.5
https://tabelog.com/en/kyoto/A2601/A260301/26001833/,5499.5
https://tabelog.com/en/kyoto/A2601/A260301/26009394/,34999.5
https://tabelog.com/en/kyoto/A2601/A260301/26037084/,5499.5
